scenario,scale,production_t_per_yr,product_as_sold,product_t_per_yr,MSP_per_kg_product_cpkg,purchased_equipment_usd,common_plant_usd,FCI_usd,TCI_usd,FTE,variable_cost_cpkg,fixed_cost_cpkg,capital_and_tax_cpkg,MSP_cpkg
IL_A,A,113095.17750853587,dry premix (bagged),100000.0,5.863682061091238,0.0,1500000.0,1800000.0,1890000.0,4.0,4.6842120000000005,0.2489938176,0.25152636131954476,5.184732178919544
IL_B,B,60000.0,wet mortar (ready-mixed),60000.0,5.665424618773663,0.0,2000000.0,2400000.0,2520000.0,3.0,4.694101450000001,0.40800000000000003,0.5633231687736628,5.665424618773663
FA_A,A,113095.17750853587,dry premix (bagged),100000.0,5.07388146227347,0.0,1500000.0,1800000.0,1890000.0,4.0,3.9923234217,0.2489938176,0.2450645623382872,4.486381801638287
FA_B,B,60000.0,wet mortar (ready-mixed),60000.0,4.967074241492407,0.0,2000000.0,2400000.0,2520000.0,3.0,4.0022128717,0.40800000000000003,0.5568613697924062,4.967074241492407
BC_A,A,113095.17750853587,dry premix (bagged),100000.0,6.658801931133282,3886192.483468087,1500000.0,9704515.511374088,10189741.286942793,6.0,4.186734441156595,0.5515799029437842,1.1494715702289113,5.8877859143292905
BC_B,B,60000.0,wet mortar (ready-mixed),60000.0,5.166672299642505,458624.78938633617,2000000.0,3332842.821611807,3499484.9626923976,4.0,3.862832875197443,0.5466133587894463,0.7572260656556162,5.166672299642505
LC3_A,A,113095.17750853587,dry premix (bagged),100000.0,5.01775980778038,0.0,1500000.0,1800000.0,1890000.0,4.0,3.9431592,0.2489938176,0.2446053997972964,4.436758417397297
LC3_B,B,60000.0,wet mortar (ready-mixed),60000.0,4.917450857251416,0.0,2000000.0,2400000.0,2520000.0,3.0,3.9530486500000004,0.40800000000000003,0.5564022072514154,4.917450857251416
