scenario,metric,p05,p50,p95,mean
IL_A,GWP,0.20459970092610216,0.2085337558352934,0.2140710849697222,0.20878883897523706
IL_A,MSP,4.777508172911334,5.210798145103594,5.662374650555323,5.215800236251038
IL_B,GWP,0.20459970092610216,0.2085337558352934,0.2140710849697222,0.20878883897523706
IL_B,MSP,5.258964321740714,5.743961444674737,6.214509522246817,5.74054512529107
FA_A,GWP,0.14744943148708753,0.1513834863962788,0.15692081553070755,0.15163856953622243
FA_A,MSP,4.178063293972419,4.553361077041009,4.927684117422446,4.552364486934146
FA_B,GWP,0.14744943148708753,0.1513834863962788,0.15692081553070755,0.15163856953622243
FA_B,MSP,4.6441617067081165,5.081814992430191,5.500441558256267,5.077133928510129
BC_A,GWP,0.1595848302834757,0.16459145360781466,0.16972445146552664,0.16465531814051962
BC_A,MSP,5.884111614407417,6.558123044834198,7.550020307740749,6.625782665886315
BC_B,GWP,0.14480882102283327,0.14623086309053862,0.1485736371615908,0.14641251531288646
BC_B,MSP,5.226921145594504,5.9174652914539845,6.944396813287648,5.977082998784247
LC3_A,GWP,0.14398908458275259,0.14792313949194386,0.1534604686263726,0.14817822263188749
LC3_A,MSP,4.377807100672483,5.132144989267052,5.95774587457189,5.1359346525410885
LC3_B,GWP,0.14398908458275259,0.14792313949194386,0.1534604686263726,0.14817822263188749
LC3_B,MSP,4.866200657453795,5.667623724918622,6.466278690201477,5.660682283345984
