scenario,GWP,AP,WC,PM,ODP,SFP,EP,MSP
IL_A,0.20959158407464712,0.00047444906986399534,224.8919640579199,5.5073925310617976e-05,7.632405633979753e-09,0.010366204387850264,0.00016323849103746024,5.184732178919544
IL_B,0.20959158407464712,0.00047444906986399534,224.8919640579199,5.5073925310617976e-05,7.632405633979753e-09,0.010366204387850264,0.00016323849103746024,5.665424618773663
FA_A,0.15244131463563249,0.0003531391162051545,162.4800879030848,4.123167463623159e-05,5.73046051439328e-09,0.007707862934191395,0.0001194347535031322,4.486381801638287
FA_B,0.15244131463563249,0.0003531391162051545,162.4800879030848,4.123167463623159e-05,5.73046051439328e-09,0.007707862934191395,0.0001194347535031322,4.967074241492407
BC_A,0.16498946238170983,0.00038352817965894793,161.57015790825275,4.634194248221004e-05,5.688142921390397e-09,0.007987885506678729,0.00011968391284408572,5.8877859143292905
BC_B,0.14500432287050513,0.00035006136842834885,160.99719990727726,4.106018492413638e-05,5.6749450237859054e-09,0.007688019660221118,0.0001184699949668602,5.166672299642505
LC3_A,0.14898096773129754,0.00033652348357835594,151.12492509394838,4.226769824642828e-05,7.949229995374746e-09,0.007083563715724095,0.00011452528101892691,4.436758417397297
LC3_B,0.14898096773129754,0.00033652348357835594,151.12492509394838,4.226769824642828e-05,7.949229995374746e-09,0.007083563715724095,0.00011452528101892691,4.917450857251416
