scenario,stage,flow,amount,unit,dataset,equation,note
BC_B,mortar mixing,sand,0.6459232793308528,kg,sand RoW,mix design,
BC_B,mortar mixing,"tap water (mixing, make-up)",0.07632642899506324,kg,tap water RoW,mix design; slurry water credited in BC_B,
BC_B,mortar mixing,electricity (mixer),0.0004948602576420194,kWh,US grid,same specific energy assumed for plant mixer,
BC_B,product,carbonated RCF in mortar (information),0.0790390308786498,kg,"reported flow, no factor",rcf x (1+u),
LC3_A,LC3 cement,clinker,0.1157895,kg,clinker RoW,0.23158 kg cement x 0.5,
LC3_A,LC3 cement,calcined clay,0.0694737,kg,calcined clay RoW,0.23158 kg cement x 0.3,
LC3_A,LC3 cement,limestone,0.03473685,kg,limestone RoW,0.23158 kg cement x 0.15,
LC3_A,LC3 cement,gypsum,0.011578950000000001,kg,gypsum RoW,0.23158 kg cement x 0.05,
LC3_A,LC3 cement,electricity (finish grinding),0.0078042123,kWh,US grid,0.23158 x 0.0337 kWh/kg,
LC3_A,mortar mixing,sand,0.652632,kg,sand RoW,mix design,
LC3_A,mortar mixing,"tap water (mixing, make-up)",0.115789,kg,tap water RoW,mix design; slurry water credited in BC_B,
LC3_A,mortar mixing,electricity (mixer),0.0005,kWh,US grid,0.56 kW x 10 min / 183.8 kg,
LC3_A,functional-unit electricity,"electricity (SubPC plant without capture, to match BioCarb co-product)",0.011296137050506671,kWh,SubPC no capture (per kWh),Eq. S3: equal electricity output for all systems (NETL CO2U system expansion),
LC3_B,LC3 cement,clinker,0.1157895,kg,clinker RoW,0.23158 kg cement x 0.5,
LC3_B,LC3 cement,calcined clay,0.0694737,kg,calcined clay RoW,0.23158 kg cement x 0.3,
LC3_B,LC3 cement,limestone,0.03473685,kg,limestone RoW,0.23158 kg cement x 0.15,
LC3_B,LC3 cement,gypsum,0.011578950000000001,kg,gypsum RoW,0.23158 kg cement x 0.05,
LC3_B,LC3 cement,electricity (finish grinding),0.0078042123,kWh,US grid,0.23158 x 0.0337 kWh/kg,
LC3_B,mortar mixing,sand,0.652632,kg,sand RoW,mix design,
LC3_B,mortar mixing,"tap water (mixing, make-up)",0.115789,kg,tap water RoW,mix design; slurry water credited in BC_B,
LC3_B,mortar mixing,electricity (mixer),0.0005,kWh,US grid,same specific energy assumed for plant mixer,
LC3_B,functional-unit electricity,"electricity (SubPC plant without capture, to match BioCarb co-product)",0.011296137050506671,kWh,SubPC no capture (per kWh),Eq. S3: equal electricity output for all systems (NETL CO2U system expansion),
