iter,GWP_IL_A,MSP_IL_A,GWP_IL_B,MSP_IL_B,GWP_FA_A,MSP_FA_A,GWP_FA_B,MSP_FA_B,GWP_BC_A,MSP_BC_A,GWP_BC_B,MSP_BC_B,GWP_LC3_A,MSP_LC3_A,GWP_LC3_B,MSP_LC3_B,in_cao_field,in_CE,in_ce0_field,in_util,in_ta_retained,in_grind_e,in_crush_alloc,in_dry_MJ_per_kg_water,in_labor_rate,in_labor_fte_bc_A,in_labor_fte_bc_B,in_price_il,in_price_fa,in_price_lc3_factor,in_price_elec,in_price_ta,in_price_co2,in_price_rcf,in_plant_common_A_cost,in_plant_common_B_cost
0,0.20568819132896357,4.9439732039363555,0.20568819132896357,5.5673924951754525,0.14853792188994894,4.289952841769811,0.14853792188994894,4.913493389671532,0.1649666300735038,7.4848623782015204,0.14543116637859854,6.6780036056040855,0.145077574985614,4.44616963760737,0.145077574985614,5.06968122260762,0.167467062766085,0.8214143084193171,0.13850322587796277,0.9518810801231374,0.7921906523953728,0.0381181464016538,0.6637302342385907,4.415232467805136,35.059136129410575,1.8011870839931137,1.668579688441386,151.731891114752,58.179515981092806,0.8596655743955405,0.060291956548372556,13.602719748444855,52.27379372249419,28.05578845183846,924750.7405765678,2077184.5191318032
1,0.20939238307498861,4.879989850033885,0.20939238307498861,5.239382603121955,0.15224211363597398,4.254199715679237,0.15224211363597398,4.613592468767308,0.1634316511676809,7.3198555833602335,0.14570590485749468,5.965688067464506,0.14878176673163904,4.452206081619779,0.14878176673163904,4.811598834707849,0.3847972980639938,0.7421430302038884,0.26298147001083205,0.9866586086967354,0.8776206486522677,0.03275923129377188,0.5277488944480444,3.8275691109275014,23.973657049881858,3.51546112168477,1.5997261404441396,146.33736428192833,56.56209641935736,0.874935892459235,0.10658051146807578,10.168020071790933,95.53495775229766,6.035805414670373,1754326.9662219104,1791412.538500134
2,0.21057441408271654,5.665816049459495,0.21057441408271654,6.069272076911501,0.1534241446437019,4.829275022940588,0.1534241446437019,5.232731050392596,0.1672296779716716,7.771170744067729,0.14669843860439247,6.4974037409549465,0.14996379773936697,5.299148332402699,0.14996379773936697,5.702604359854706,0.42104857027916565,0.8032645904385455,0.34912691948653124,0.9188676433274717,0.6033811091534658,0.039960480289000684,0.3390413178212536,4.415765768765815,27.765507638831384,1.8875294479228901,1.758070044172781,178.90718405960695,59.08703049025998,0.9123183912621731,0.10462616815813648,12.139058876241824,72.27099765910194,25.460570144200663,1738972.367917487,1885526.6648093371
3,0.21030029554582158,4.903058012609065,0.21030029554582158,5.398868067702872,0.15315002610680695,4.396465463893503,0.15315002610680695,4.892275518987311,0.16917878369404735,7.080137119184406,0.1477372100964487,5.832947249422883,0.149689679202472,5.257482977140315,0.149689679202472,5.753271237510156,0.3501597121130507,0.7892010667759322,0.2950792252101768,0.8523566342307854,0.7817560335524056,0.04140816331247372,0.8830924181734805,4.665339780075946,24.00831641537161,3.4734098443613193,1.4018286722524906,151.06027371686332,78.35266884719869,1.10037162267082,0.0927418029398625,8.269431116370862,77.34400246455678,21.025041596416788,1241683.4782172828,1944950.0595560898
4,0.2059861323527794,5.279996307786823,0.2059861323527794,6.024778862245427,0.14883586291376477,4.631365402948043,0.14883586291376477,5.376268214853271,0.164233434116789,6.847622405386581,0.1460930925839704,6.0188526092590875,0.14537551600942983,5.652898835490424,0.14537551600942983,6.3976122530863115,0.17158491091177708,0.7392010765347349,0.1297009780073025,0.8340447218231148,0.482424338033455,0.03928033175746944,0.720381319651987,4.1261270387979545,23.122831557031578,1.8101346223832917,0.6721515633819443,169.2187846167303,76.35623194801693,1.0942605228059914,0.07601436939000443,10.377597037009966,111.37842672388305,14.655286955299271,999488.3181867034,2601101.980569565
5,0.20651197405685603,5.698398371001368,0.20651197405685603,5.977212934028793,0.14936170461784143,4.777822722074826,0.14936170461784143,5.056637285102251,0.1595033450786073,6.650848939822758,0.1450135645011102,5.411839512892974,0.14590135771350649,5.830582812333372,0.14590135771350649,6.109397375360797,0.270395714707152,0.7789117422689142,0.2908226703006129,0.9779164371361682,0.3520822018681282,0.04250423915457868,0.2779063597345546,3.234478150229638,23.450195455224343,1.4914356068060721,0.7176891880419348,178.79755432207637,47.128375430365885,1.0316287756592772,0.07763778400184324,4.008766923380809,52.20055600927793,21.69314895809725,2125617.7736666882,1747500.6766222701
6,0.21292404266154835,5.581975604209529,0.21292404266154835,5.9973713177012105,0.15577377322253372,4.868829527789692,0.15577377322253372,5.284225241281372,0.16288195403219358,7.505302986681641,0.14793816416981936,6.335663469209124,0.15231342631819877,5.535156111691411,0.15231342631819877,5.950551825183094,0.2959736305466687,0.8360745405590122,0.10338839341576568,0.8657061409257357,0.5446756912496487,0.036916082727035206,0.9325727742149954,3.160716255067955,22.696211138567875,2.8751456451027417,1.7566014522417024,171.99584367737015,69.83358902374201,0.988354118551745,0.09245540379604653,11.628813592294252,80.50888388507464,26.828123004207917,2406375.7538483264,2325232.730173945
7,0.21029664281855104,5.104116303303254,0.21029664281855104,5.674006131635699,0.15314637337953643,4.413649137662492,0.15314637337953643,4.9835389659949385,0.17009491603488042,7.110577173597051,0.1476348484462146,5.893710301294894,0.1496860264752015,4.894750298982023,0.1496860264752015,5.464640127314469,0.3837255698594673,0.7791498668386259,0.3407075217834904,0.8292896400610283,0.8387995669374915,0.028234246894907417,0.5967048360615764,4.902312640675219,29.230840309704796,1.7901078081506494,0.6650697742386736,151.5314656331884,52.56466258531155,0.9408891838239888,0.10020162715550224,6.953913858451605,105.83465956196619,6.621103459994485,2135222.323640256,2599836.4580094363
8,0.20604505316495506,5.627260753891894,0.20604505316495506,6.265213728373352,0.14889478372594042,4.856058472433442,0.14889478372594042,5.494011446914899,0.15898415180868117,7.989903330163236,0.14551134542963573,7.122303742544762,0.14543443682160548,5.744533958118236,0.14543443682160548,6.382486932599693,0.2816435348303453,0.7253108179000254,0.29022301701097963,0.9682117271686838,0.797502728419268,0.04207174585327943,0.4748727025051205,3.025562485594489,25.573478582300442,1.9252653982929715,1.2084128300238988,175.65978296443248,65.23746665451478,1.028562095346438,0.08861770679023606,13.99115326575928,45.54024878124455,21.072266350387352,2049510.7732401122,2801209.0210109022
9,0.21023219865772397,4.947536700963651,0.21023219865772397,5.655641963282455,0.15308192921870933,4.384062203264978,0.15308192921870933,5.09216746558378,0.16527551793241171,6.893673574021307,0.14737382116167433,6.000571758885063,0.1496215823143744,4.361594579686981,0.1496215823143744,5.069699842005783,0.29021194212792023,0.7525303794942511,0.17011870360572007,0.8378630807745024,0.701986219624804,0.028854946489804537,0.7255000978489423,3.9035397654648287,22.159298253469917,3.0238410149899697,1.7471415847539977,152.5282521136378,71.74484637574984,0.8356506312034935,0.0855434919275857,8.453428987253236,103.16316923389213,15.21328117799433,1378710.5238692362,2695093.2408140902
