parameter,value,scenario,GWP,MSP,E_kWh,GWP_credited
repl,0.1,IL_A,0.20251979602690717,5.184732178919544,0.0037913611763455116,0.19894717732368145
repl,0.1,IL_B,0.20251979602690717,5.665424618773663,0.0037913611763455116,0.19894717732368145
repl,0.1,FA_A,0.14536952658789254,4.486381801638287,0.0037913611763455116,0.1417969078846668
repl,0.1,FA_B,0.14536952658789254,4.967074241492407,0.0037913611763455116,0.1417969078846668
repl,0.1,BC_A,0.18754983312603607,5.9012116416643465,0.0037913611763455116,0.18397721442281034
repl,0.1,BC_B,0.18084215228719286,5.673678448790201,0.0037913611763455116,0.17726953358396713
repl,0.1,LC3_A,0.1419091796835576,4.436758417397297,0.0037913611763455116,0.13833656098033187
repl,0.1,LC3_B,0.1419091796835576,4.917450857251416,0.0037913611763455116,0.13833656098033187
repl,0.15000000000000002,IL_A,0.20429687677604205,5.184732178919544,0.005677248117881577,0.19894717732368145
repl,0.15000000000000002,IL_B,0.20429687677604205,5.665424618773663,0.005677248117881577,0.19894717732368145
repl,0.15000000000000002,FA_A,0.14714660733702742,4.486381801638287,0.005677248117881577,0.1417969078846668
repl,0.15000000000000002,FA_B,0.14714660733702742,4.967074241492407,0.005677248117881577,0.1417969078846668
repl,0.15000000000000002,BC_A,0.1818806020528706,5.986873857247666,0.005677248117881577,0.17653090260051
repl,0.15000000000000002,BC_B,0.17183640772623585,5.549147456443252,0.005677248117881577,0.16648670827387524
repl,0.15000000000000002,LC3_A,0.14368626043269248,4.436758417397297,0.005677248117881577,0.13833656098033187
repl,0.15000000000000002,LC3_B,0.14368626043269248,4.917450857251416,0.005677248117881577,0.13833656098033187
repl,0.2,IL_A,0.20606784743083653,5.184732178919544,0.007556650859341934,0.19894717732368145
repl,0.2,IL_B,0.20606784743083653,5.665424618773663,0.007556650859341934,0.19894717732368145
repl,0.2,FA_A,0.1489175779918219,4.486381801638287,0.007556650859341934,0.1417969078846668
repl,0.2,FA_B,0.1489175779918219,4.967074241492407,0.007556650859341934,0.1417969078846668
repl,0.2,BC_A,0.17623086336164182,6.049457324499986,0.007556650859341934,0.16911019325448673
repl,0.2,BC_B,0.1628616274019347,5.4230837909234,0.007556650859341934,0.1557409572947796
repl,0.2,LC3_A,0.14545723108748695,4.436758417397297,0.007556650859341934,0.13833656098033187
repl,0.2,LC3_B,0.14545723108748695,4.917450857251416,0.007556650859341934,0.13833656098033187
repl,0.25,IL_A,0.207832739449497,5.184732178919544,0.00942960278503996,0.19894717732368145
repl,0.25,IL_B,0.207832739449497,5.665424618773663,0.00942960278503996,0.19894717732368145
repl,0.25,FA_A,0.15068247001048238,4.486381801638287,0.00942960278503996,0.1417969078846668
repl,0.25,FA_B,0.15068247001048238,4.967074241492407,0.00942960278503996,0.1417969078846668
repl,0.25,BC_A,0.17060051669459092,6.097028279690313,0.00942960278503996,0.16171495456877535
repl,0.25,BC_B,0.15391765189296255,5.296172021245909,0.00942960278503996,0.145032089767147
repl,0.25,LC3_A,0.14722212310614743,4.436758417397297,0.00942960278503996,0.13833656098033187
repl,0.25,LC3_B,0.14722212310614743,4.917450857251416,0.00942960278503996,0.13833656098033187
repl,0.30000000000000004,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506673,0.19894717732368145
repl,0.30000000000000004,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506673,0.19894717732368145
repl,0.30000000000000004,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506673,0.1417969078846668
repl,0.30000000000000004,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506673,0.1417969078846668
