scenario,CO2 mineralized / vented,CO2 supply,IL cement,LC3 cement,RCF preparation,TA production (proxy),dewatering & drying,fly ash supply,functional-unit electricity,mortar mixing,product,soaking & carbonation
IL_A,0.0,0.0,0.19107162240681144,0.0,0.0,0.0,0.0,0.0,0.010644406750965667,0.007875554916869998,0.0,0.0
IL_B,0.0,0.0,0.19107162240681144,0.0,0.0,0.0,0.0,0.0,0.010644406750965667,0.007875554916869998,0.0,0.0
FA_A,0.0,0.0,0.133750135684768,0.0,0.0,0.0,0.0,0.00017121728302879862,0.010644406750965667,0.007875554916869998,0.0,0.0
FA_B,0.0,0.0,0.133750135684768,0.0,0.0,0.0,0.0,0.00017121728302879862,0.010644406750965667,0.007875554916869998,0.0,0.0
BC_A,0.0,0.003071060729277918,0.1323752532092387,0.0,0.0011735947072382344,0.0003826282347070191,0.019942883119514313,0.0,0.0,0.0077945982704723206,0.0,0.0002494441112613276
BC_B,0.0,0.003071060729277918,0.1323752532092387,0.0,0.0011735947072382344,0.0003826282347070191,0.0,0.0,0.0,0.007752341878781912,0.0,0.0002494441112613276
LC3_A,0.0,0.0,0.0,0.13046100606346187,0.0,0.0,0.0,0.0,0.010644406750965667,0.007875554916869998,0.0,0.0
LC3_B,0.0,0.0,0.0,0.13046100606346187,0.0,0.0,0.0,0.0,0.010644406750965667,0.007875554916869998,0.0,0.0
