,MAC_usd_per_tCO2e
IL_A,
IL_B,
FA_A,-122.1954654170915
FA_B,-122.19546541709136
BC_A,258.4838206723783
BC_B,-76.89653131367828
LC3_A,-123.40639423382427
LC3_B,-123.40639423382427
